ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-108N|refseq:NP_446240|uniprotkb:P32851	DIP-766N|uniprotkb:P61765	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0042(electron paramagnetic resonance)|MI:0030(cross-linking study)|MI:0096(pull down)|MI:0042(electron paramagnetic resonance)|MI:0018(two hybrid)|MI:0096(pull down)	-	pubmed:21193638|pubmed:DIP-16021S|pubmed:26876096|pubmed:DIP-18011S|pubmed:17301226|pubmed:DIP-16723S|pubmed:21193638|pubmed:DIP-16021S|pubmed:26876096|pubmed:DIP-18011S|pubmed:7768895|pubmed:DIP-161S|pubmed:21193638|pubmed:DIP-16021S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-421E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)		-
DIP-766N|uniprotkb:P61765	DIP-347N|uniprotkb:P50279	 -	-	-	-	MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:7768895|pubmed:DIP-161S|pubmed:7768895|pubmed:DIP-161S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-422E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-358N|refseq:NP_112386|uniprotkb:O70441	DIP-766N|uniprotkb:P61765	 -	-	-	-	MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:7768895|pubmed:DIP-161S|pubmed:7768895|pubmed:DIP-161S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-423E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-289N|refseq:NP_112388|uniprotkb:Q62753	DIP-108N|refseq:NP_446240|uniprotkb:P32851	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7768895|pubmed:DIP-161S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-424E	dip-quality-status:core	dip:0002(small scale)		-
DIP-347N|uniprotkb:P50279	DIP-289N|refseq:NP_112388|uniprotkb:Q62753	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7768895|pubmed:DIP-161S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-425E	dip-quality-status:core	dip:0002(small scale)		-
DIP-289N|refseq:NP_112388|uniprotkb:Q62753	DIP-358N|refseq:NP_112386|uniprotkb:O70441	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7768895|pubmed:DIP-161S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-426E	dip-quality-status:core	dip:0002(small scale)		-
DIP-485N|refseq:NP_037304|uniprotkb:P19335	DIP-74N|uniprotkb:P15923	 -	-	-	-	MI:0013(biophysical)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:1311321|pubmed:DIP-264S|pubmed:1311321|pubmed:DIP-264S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-441E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-74N|uniprotkb:P15923	DIP-52N|uniprotkb:P20428	 -	-	-	-	MI:0013(biophysical)|MI:0404(comigration in non denaturing gel electrophoresis)	-	pubmed:1311321|pubmed:DIP-264S|pubmed:1311321|pubmed:DIP-264S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-442E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-476N|refseq:NP_000866|uniprotkb:P08069	DIP-664N|refseq:NP_037101|uniprotkb:P35570	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7559507|pubmed:DIP-411S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-445E	dip-quality-status:core	dip:0002(small scale)		-
DIP-299N|refseq:NP_037184|uniprotkb:P68511	DIP-1045N|refseq:NP_004324|uniprotkb:P15056	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8668348|pubmed:DIP-323S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-461E	dip-quality-status:core	dip:0002(small scale)		-
DIP-947N|refseq:NP_037185|uniprotkb:P68255	DIP-1045N|refseq:NP_004324|uniprotkb:P15056	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8668348|pubmed:DIP-323S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-462E	dip-quality-status:core	dip:0002(small scale)		-
DIP-488N|refseq:NP_037143|uniprotkb:P63102	DIP-1045N|refseq:NP_004324|uniprotkb:P15056	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8668348|pubmed:DIP-323S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-463E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1048N|refseq:NP_002871|uniprotkb:P04049	DIP-299N|refseq:NP_037184|uniprotkb:P68511	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8668348|pubmed:DIP-323S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-464E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1048N|refseq:NP_002871|uniprotkb:P04049	DIP-947N|refseq:NP_037185|uniprotkb:P68255	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8668348|pubmed:DIP-323S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-465E	dip-quality-status:core	dip:0002(small scale)		-
DIP-488N|refseq:NP_037143|uniprotkb:P63102	DIP-1048N|refseq:NP_002871|uniprotkb:P04049	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9261098|pubmed:DIP-55S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-469E	dip-quality-status:core	dip:0002(small scale)		-
DIP-516N|uniprotkb:Q06124	DIP-502N|uniprotkb:Q14451	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8622870|pubmed:DIP-219S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-481E	dip-quality-status:core	dip:0002(small scale)		-
DIP-138N|refseq:XP_217250|uniprotkb:P09759	DIP-29229N|uniprotkb:P62993	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8798570|pubmed:DIP-400S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-295E	dip-quality-status:core	dip:0002(small scale)		-
DIP-267N|refseq:NP_446309|uniprotkb:Q62622	DIP-487N|refseq:NP_059043|uniprotkb:P21708	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0401(biochemical)	-	pubmed:7939721|pubmed:DIP-407S|pubmed:7939721|pubmed:DIP-407S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-112E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1N|refseq:NP_113971|uniprotkb:P19527	DIP-1N|refseq:NP_113971|uniprotkb:P19527	-	-	-	-	MI:0018(two hybrid)	-	pubmed:8663004|pubmed:DIP-66S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-508E	dip-quality-status:core	dip:0002(small scale)		-
DIP-208N|uniprotkb:P12839	DIP-1N|refseq:NP_113971|uniprotkb:P19527	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8663004|pubmed:DIP-66S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-509E	dip-quality-status:core	dip:0002(small scale)		-
DIP-105N|refseq:NP_036739|uniprotkb:P16884	DIP-1N|refseq:NP_113971|uniprotkb:P19527	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8663004|pubmed:DIP-66S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-510E	dip-quality-status:core	dip:0002(small scale)		-
DIP-618N|refseq:NP_062161|uniprotkb:P08592	DIP-682N|uniprotkb:P46933	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8955346|pubmed:DIP-287S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-518E	dip-quality-status:core	dip:0002(small scale)		-
DIP-555N|uniprotkb:P12368	DIP-180N|uniprotkb:Q12802	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:8910553|pubmed:DIP-163S|pubmed:8910553|pubmed:DIP-163S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-576E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1007N	DIP-555N|uniprotkb:P12368	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0045(experimental interaction detection)	-	pubmed:8910553|pubmed:DIP-163S|pubmed:8910553|pubmed:DIP-163S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-577E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-251N	DIP-555N|uniprotkb:P12368	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8910553|pubmed:DIP-163S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-578E	dip-quality-status:core	dip:0002(small scale)		-
DIP-66N|refseq:NP_058738|uniprotkb:P20651	DIP-186N|uniprotkb:P24588	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7528941|pubmed:DIP-59S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-584E	dip-quality-status:core	dip:0002(small scale)		-
DIP-491N|refseq:NP_113702|uniprotkb:Q62689	DIP-95N|uniprotkb:P40189	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:9388212|pubmed:DIP-176S|pubmed:9388212|pubmed:DIP-176S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-586E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-95N|uniprotkb:P40189	DIP-516N|uniprotkb:Q06124	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9388212|pubmed:DIP-176S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-588E	dip-quality-status:core	dip:0002(small scale)		-
DIP-271N|refseq:NP_035498|uniprotkb:P98083	DIP-63N|refseq:NP_058790|uniprotkb:P16310	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7535773|pubmed:DIP-425S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-629E	dip-quality-status:core	dip:0002(small scale)		-
DIP-517N|refseq:NP_077364	DIP-645N|refseq:NP_476781|uniprotkb:P20153	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:10116(Rattus norvegicus)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-669E	dip-quality-status:core	dip:0002(small scale)		-
DIP-788N|uniprotkb:P49700	DIP-517N|refseq:NP_077364	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:7091(Bombyx mori)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-673E	dip-quality-status:core	dip:0002(small scale)		-
DIP-607N|refseq:NP_112297|uniprotkb:P04897	DIP-217N|refseq:NP_037028|uniprotkb:P28647	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)	-	pubmed:7622506|pubmed:DIP-317S|pubmed:7622506|pubmed:DIP-317S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-711E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-217N|refseq:NP_037028|uniprotkb:P28647	DIP-608N|refseq:NP_037238|uniprotkb:P08753	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:7622506|pubmed:DIP-317S|pubmed:7622506|pubmed:DIP-317S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-712E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-606N|refseq:NP_032165|uniprotkb:P21279	DIP-217N|refseq:NP_037028|uniprotkb:P28647	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)	-	pubmed:7622506|pubmed:DIP-317S|pubmed:7622506|pubmed:DIP-317S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-713E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-603N|refseq:NP_034431|uniprotkb:P21278	DIP-217N|refseq:NP_037028|uniprotkb:P28647	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)	-	pubmed:7622506|pubmed:DIP-317S|pubmed:7622506|pubmed:DIP-317S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-714E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1073N|refseq:NP_036771|uniprotkb:P11345	DIP-448N|refseq:NP_034351|uniprotkb:Q61576	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9438387|pubmed:DIP-67S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-825E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1048N|refseq:NP_002871|uniprotkb:P04049	DIP-305N	 -	-	-	-	MI:0013(biophysical)	-	pubmed:8408024|pubmed:DIP-393S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-826E	dip-quality-status:core	dip:0002(small scale)		-
DIP-480N|uniprotkb:P06213	DIP-516N|uniprotkb:Q06124	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8895367|pubmed:DIP-349S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-519E	dip-quality-status:core	dip:0002(small scale)		-
DIP-517N|refseq:NP_077364	DIP-641N|refseq:NP_002948|uniprotkb:P19793	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:7644522|pubmed:DIP-404S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-677E	dip-quality-status:core	dip:0002(small scale)		-
DIP-516N|uniprotkb:Q06124	DIP-476N|refseq:NP_000866|uniprotkb:P08069	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8895367|pubmed:DIP-349S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-520E	dip-quality-status:core	dip:0002(small scale)		-
DIP-552N|refseq:NP_004148|uniprotkb:P13861	DIP-251N	 -	-	-	-	MI:0013(biophysical)	-	pubmed:8125992|pubmed:DIP-58S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1039E	dip-quality-status:core	dip:0002(small scale)		-
DIP-784N	DIP-869N|uniprotkb:P47809	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7997270|pubmed:DIP-445S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1065E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1005N|refseq:NP_002703|uniprotkb:Q15435	DIP-527N|refseq:NP_113715|uniprotkb:P08129	 -	-	-	-	MI:0013(biophysical)	-	pubmed:9037183|pubmed:DIP-86S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1069E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1071N|refseq:NP_037085|uniprotkb:P10158	DIP-653N|refseq:NP_068607|uniprotkb:P17325	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:2497053|pubmed:DIP-60S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1101E	dip-quality-status:core	dip:0002(small scale)		-
DIP-225N|uniprotkb:Q08163	DIP-225N|uniprotkb:Q08163	-	-	-	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pubmed:8663401|pubmed:DIP-459S|pubmed:8663401|pubmed:DIP-459S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1176E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-77N|refseq:NP_014261|uniprotkb:P17555	DIP-225N|uniprotkb:Q08163	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)	-	pubmed:8663401|pubmed:DIP-459S|pubmed:8663401|pubmed:DIP-459S	taxid:4932(Saccharomyces cerevisiae)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-1178E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-225N|uniprotkb:Q08163	DIP-310N|refseq:NP_116614|uniprotkb:P60010	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8663401|pubmed:DIP-459S	taxid:10116(Rattus norvegicus)	taxid:4932(Saccharomyces cerevisiae)	MI:0218(physical interaction)	MI:0465(dip)	DIP-1179E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1164N|refseq:NP_114054|uniprotkb:P11030	DIP-1164N|refseq:NP_114054|uniprotkb:P11030	-	-	-	-	MI:0254(genetic interference)	-	pubmed:10617589|pubmed:DIP-509S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0254(genetic interference)	MI:0465(dip)	DIP-1369E	dip-quality-status:core	dip:0002(small scale)		-
DIP-2658N|refseq:NP_113695|uniprotkb:Q9QX70	DIP-2659N|refseq:NP_062005|uniprotkb:P04894	 -	-	-	-	MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)	-	pubmed:9038141|pubmed:DIP-1020S|pubmed:9038141|pubmed:DIP-1020S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-3493E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-2661N|uniprotkb:P23708	DIP-2660N|refseq:NP_113741|uniprotkb:P63140	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0030(cross-linking study)|MI:0018(two hybrid)	-	pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-3494E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
